name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
MASTER ROOM IN THE GREAT HOUSE,790208,Maria Jose,Miguel Hidalgo,19.40658,-99.18761,Private room,952,2,50,0.57,4,359
<3 bedroom with own terrace @ La Mansion,7682248,Fherdinand,Cuauhtémoc,19.40914,-99.16199,Private room,574,3,32,0.36,17,358
Acogedor departamento en Coyoacán,10531228,Maria,Coyoacán,19.35713,-99.16026,Entire home/apt,1340,2,34,0.49,3,294
Cómodo y espacioso loft en Coyoacán,10531228,Maria,Coyoacán,19.35585,-99.16315,Entire home/apt,1633,2,13,0.23,3,297
Amplio y luminoso loft en Coyoacán,10531228,Maria,Coyoacán,19.35404,-99.16114,Entire home/apt,1628,1,21,0.24,3,294
Coyoacan Historic Studio Apartment,16840050,Mónica,Coyoacán,19.35358,-99.16948,Entire home/apt,750,3,60,0.68,2,214
Condesa Apartment in 1920s Landmarked Art Nouveau Mansion,8282570,Thomas,Cuauhtémoc,19.41673,-99.16577,Entire home/apt,1250,3,197,2.5,3,124
5 min from CDMX´s airport,10644799,Benito,Venustiano Carranza,19.43949,-99.08769,Entire home/apt,451,1,538,6.72,6,365
Private rooms near old Coyoacan center,10659485,Cécile,Coyoacán,19.34179,-99.15327,Private room,375,2,5,0.06,1,365
Polanco Concept Studio Loft...,3675629,Patricia (Pâté),Miguel Hidalgo,19.43573,-99.18955,Entire home/apt,1181,2,63,0.79,5,272
COYOACAN NICE ♥ FLAT !!,16840050,Mónica,Coyoacán,19.3537,-99.16916,Entire home/apt,850,3,37,0.42,2,177
Nice and luminous apartment in Coyoacan,4079778,Rosa Maria,Coyoacán,19.3441,-99.15786,Entire home/apt,557,1,8,0.09,5,234
